blockNumber,targetBlock,initialSeed,tokenId,createTokenSeed,timestamp,parentBlockId,parentBlockHash,difficulty,details,heroRarity
13762218,13762211,67704093931531634665754151385552495305481810281501996567543544276070268081926,7439888,7839598486251548933963657766061823846257642193159819734904061561275105309910635699586234711631368480105881887956514087698973593430415221032166081736836624,1640372137,13762217,0xc9d351542118521fa84e3212f004110392b0d3fe38e74faf4aaf1de664c158b4,2,278577658398234266756615079440,0
13762219,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439904,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540320,1640372140,13762218,0x5a33bd4d4d85b2c4bf7cbfaeaff20c0ef2e9e756dadeed63a4698152f9255485,2,159735420566869496085869594144,0
13762219,13762201,60335445527670530689230330064707450137715367771568593448062046798226717849955,7439896,6986367292713256434057471370244290465400287951349991986650724735971777720263198672508272397217536847682534169681288171555464538326337778183309473231242776,1640372140,13762218,0x5a33bd4d4d85b2c4bf7cbfaeaff20c0ef2e9e756dadeed63a4698152f9255485,2,199348281055194462746653591064,0
13762219,13762211,67704093931531634665754151385552495305481810281501996567543544276070268081926,7439905,7839598486251548933963657766061823846257642193159819734904061561275105309910635699586234711631368480105881887956514087698973593430415221032166081736836641,1640372140,13762218,0x5a33bd4d4d85b2c4bf7cbfaeaff20c0ef2e9e756dadeed63a4698152f9255485,2,278577660798872418626923759137,0
13762219,13762199,83753667958607922591411356019687905308472281972750015874380323329363122966454,7439899,9698012194215678721515687693408811524530490768663508489745088609440641729373953353714224584862303051416281501035822701523072183161594357111732633234146843,1640372140,13762218,0x5a33bd4d4d85b2c4bf7cbfaeaff20c0ef2e9e756dadeed63a4698152f9255485,2,120121338168274106034188027419,0
13762218,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439889,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540305,1640372137,13762217,0xc9d351542118521fa84e3212f004110392b0d3fe38e74faf4aaf1de664c158b4,2,159736630712408004995050472977,0
13762219,13762209,42912592505545068556749531155607135119972976026586770046697601204985490843226,7439897,4968938740806660761012244410030437840637601738155946300177093173528651203207408132650695265740347402662165131900786714852691862120902482868361182412113433,1640372140,13762218,0x5a33bd4d4d85b2c4bf7cbfaeaff20c0ef2e9e756dadeed63a4698152f9255485,2,80507262811722140221220947481,0
13762219,13762211,67704093931531634665754151385552495305481810281501996567543544276070268081926,7439915,7839598486251548933963657766061823846257642193159819734904061561275105309910635699586234711631368480105881887956514087698973593430415221032166081736836651,1640372140,13762218,0x5a33bd4d4d85b2c4bf7cbfaeaff20c0ef2e9e756dadeed63a4698152f9255485,2,80507247428365939545820202539,0
13762220,13762210,59257471941744218446914939557152589457747665306532438838041116598555530917806,7439916,6861546479056207149274361801191380850892953487375788436849826658583971733442263430986498890681758897845915235671591551004294865647018462133319508398540332,1640372143,13762219,0x7ec9d61e05307305599f4e7dc90964f83a48ba4fc7af48e2d0af85f2df31e347,2,199349506511673542122931324460,0
13762220,13762193,21395088314041405798330316938279015372585599918032940081243892646022076765219,7439919,2477381975299743369324990238352485564359674628672102036106812382525887128640305929842549062839668470831399879379145689773550050135092685511864377085625903,1640372143,13762219,0x7ec9d61e05307305599f4e7dc90964f83a48ba4fc7af48e2d0af85f2df31e347,2,80508476386266502513185359407,0
